date,open,high,low,close,adj_close,volume
2007-05-30,91.5800,91.6000,91.5000,91.6000,70.3773,1550
2007-05-31,91.5800,91.6000,91.5800,91.6000,70.3773,11200
2007-06-01,91.6200,91.6200,91.6200,91.6200,70.3927,1450
2007-06-04,91.6400,91.6400,91.6400,91.6400,70.4081,1050
2007-06-05,91.6600,91.6800,91.6400,91.6400,70.4081,3750
2007-06-06,91.6400,91.6800,91.6400,91.6800,70.4388,9750
2007-06-07,91.6400,91.6600,91.6400,91.6600,70.4234,12150
2007-06-08,91.6800,91.6800,91.6200,91.6800,70.4388,7850
2007-06-11,91.6800,91.7200,91.6800,91.7200,70.4696,2400
2007-06-12,91.7200,91.7200,91.6400,91.6400,70.4081,3900
2007-06-13,91.6400,91.7200,91.6400,91.7200,70.4696,3750
2007-06-14,91.7600,91.7600,91.7600,91.7600,70.5003,13400
2007-06-15,91.8000,91.8400,91.7400,91.8400,70.5617,1050
2007-06-18,91.8200,91.8800,91.8000,91.8600,70.5771,28000
2007-06-19,91.8600,91.8600,91.8600,91.8600,70.5771,850
2007-06-20,91.8400,91.9000,91.8400,91.8800,70.5925,3100
2007-06-21,91.8600,91.9000,91.8600,91.8800,70.5925,850
2007-06-22,91.9000,91.9600,91.9000,91.9600,70.6539,2200
2007-06-25,91.9000,91.9200,91.9000,91.9200,70.6232,29700
2007-06-26,91.9200,91.9400,91.9000,91.9400,70.6386,5100
2007-06-27,91.9600,91.9600,91.9200,91.9200,70.6232,8200
2007-06-28,91.9600,91.9600,91.9600,91.9600,70.6539,900
2007-06-29,91.9600,92.0000,91.9400,92.0000,70.6847,5650
2007-07-02,91.6200,91.7000,91.6000,91.6200,70.7047,13050
2007-07-03,91.5600,91.6200,91.5600,91.6200,70.7047,3000
2007-07-05,91.6000,91.6200,91.5400,91.6200,70.7047,5450
2007-07-06,91.6400,91.6600,91.6400,91.6600,70.7356,3800
2007-07-09,91.6000,91.6800,91.6000,91.6800,70.7510,3950
2007-07-10,91.6600,91.7000,91.6600,91.7000,70.7665,5250
2007-07-11,91.7000,91.7000,91.6200,91.7000,70.7665,9100
2007-07-12,91.7200,91.7200,91.6800,91.7200,70.7819,14700
2007-07-13,91.7200,91.7400,91.7000,91.7400,70.7974,13050
2007-07-16,91.7800,91.7800,91.7200,91.7600,70.8128,16150
2007-07-17,91.8000,91.8000,91.7200,91.8000,70.8436,46500
2007-07-18,91.7600,91.7800,91.7000,91.7800,70.8282,5450
2007-07-19,91.8000,91.8200,91.7400,91.8000,70.8436,13900
2007-07-20,91.8600,91.8600,91.8400,91.8400,70.8745,8000
